Datetime,Run Name,Finished,Table,Platform,Model,Target,Data,Mode,Pretrained Model,Embedding Dimension,Word Dimension,Dropout,BoW Classifier,BoW LR C,BoW RF Estimators,CNN Output Channels,CNN Weight Decay,LSTM Layers,LSTM Hidden Dimension,LSTM Bidirectional,LSTM Wt Dropout,LSTM Embed Dropout,Max Tokens,CUDA Blocking,Epochs,Learning Rate,Patience,Class Imbalance Fix,Accuracy,Balanced Accuracy,AUC,F1,Recall,Precision,Specificity,PPV,NPV,TP,TN,FP,FN,LaTeX String,Table Extra
,BoW_20260422-2209,20260422-2209,,SCAR_NLP,BoW,surv_mo_60,ppv4,,,,,,l2logreg,1.0,50.0,,,,,,,,5000.0,False,3.0,,5.0,none,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.0,2.0,0.0,2.0,BoW & 0.5 & 0.5 & 0.5 & 0.0 & 0.0 & 0.0 \\,
,BoW_20260422-2237,20260422-2237,,SCAR_NLP,BoW,surv_mo_60,ppv4,,,,,,l2logreg,1.0,50.0,,,,,,,,5000.0,False,3.0,,5.0,none,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.0,2.0,0.0,2.0,BoW & 0.5 & 0.5 & 0.5 & 0.0 & 0.0 & 0.0 \\,
,CNN_20260422-2239,20260422-2239,,SCAR_NLP,CNN,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.8,,,,500.0,0.0,,,,,,,False,3.0,5e-05,5.0,none,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.0,2.0,0.0,2.0,CNN & 0.5 & 0.5 & 0.5 & 0.0 & 0.0 & 0.0 \\,
,CNN_20260422-2240,20260422-2240,,SCAR_NLP,CNN,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.8,,,,500.0,0.0,,,,,,,False,3.0,5e-05,5.0,none,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.0,2.0,0.0,2.0,CNN & 0.5 & 0.5 & 0.5 & 0.0 & 0.0 & 0.0 \\,
,LSTM_20260422-2242,20260422-2242,,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,1.0,0.3,0.2,,False,3.0,5e-05,5.0,none,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.0,2.0,0.0,2.0,LSTM & 0.5 & 0.5 & 0.5 & 0.0 & 0.0 & 0.0 \\,
,BoW_20260422-2330,20260422-2330,,SCAR_NLP,BoW,surv_mo_60,ppv4,,,,,,l2logreg,1.0,50.0,,,,,,,,5000.0,False,3.0,,5.0,none,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.0,2.0,0.0,2.0,BoW & 0.5 & 0.5 & 0.5 & 0.0 & 0.0 & 0.0 \\,
,CNN_20260422-2330,20260422-2330,,SCAR_NLP,CNN,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.8,,,,500.0,0.0,,,,,,,False,3.0,5e-05,5.0,none,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.0,2.0,0.0,2.0,CNN & 0.5 & 0.5 & 0.5 & 0.0 & 0.0 & 0.0 \\,
,LSTM_20260422-2330,20260422-2330,,SCAR_NLP,LSTM,surv_mo_60,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,0.2,,,,,0.0,1.0,512.0,1.0,0.3,0.2,,False,3.0,5e-05,5.0,none,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.0,2.0,0.0,2.0,LSTM & 0.5 & 0.5 & 0.5 & 0.0 & 0.0 & 0.0 \\,
